document_order,depth,node_type,node_id,original_id,node_title,source_path,level_1_type,level_1_id,level_1_title,level_2_type,level_2_id,level_2_title,level_3_type,level_3_id,level_3_title,level_4_type,level_4_id,level_4_title,level_5_type,level_5_id,level_5_title,level_6_type,level_6_id,level_6_title,level_7_type,level_7_id,level_7_title
1,1,book,ORCCARkvKXFEUIT,orcca,Open Resources for Community College Algebra,orcca.ptx,book,ORCCARkvKXFEUIT,Open Resources for Community College Algebra,,,,,,,,,,,,,,,,,,
2,2,frontmatter,ORCCAq2V6jZE9ow,frontmatter,Frontmatter,frontmatter.ptx,book,ORCCARkvKXFEUIT,Open Resources for Community College Algebra,frontmatter,ORCCAq2V6jZE9ow,Frontmatter,,,,,,,,,,,,,,,
3,3,acknowledgement,ORCCAQ9hfMMkXtY,,Acknowledgement,frontmatter.ptx,book,ORCCARkvKXFEUIT,Open Resources for Community College Algebra,frontmatter,ORCCAq2V6jZE9ow,Frontmatter,acknowledgement,ORCCAQ9hfMMkXtY,Acknowledgement,,,,,,,,,,,,
4,3,preface,ORCCA89EzjUiXno,preface-to-all,To All,frontmatter.ptx,book,ORCCARkvKXFEUIT,Open Resources for Community College Algebra,frontmatter,ORCCAq2V6jZE9ow,Frontmatter,preface,ORCCA89EzjUiXno,To All,,,,,,,,,,,,
5,4,paragraphs,ORCCAroY9Kf58nG,,"HTML, PDF, and print",frontmatter.ptx,book,ORCCARkvKXFEUIT,Open Resources for Community College Algebra,frontmatter,ORCCAq2V6jZE9ow,Frontmatter,preface,ORCCA89EzjUiXno,To All,paragraphs,ORCCAroY9Kf58nG,"HTML, PDF, and print",,,,,,,,,
6,4,paragraphs,ORCCA1tlh8tZRtS,,Copying Content,frontmatter.ptx,book,ORCCARkvKXFEUIT,Open Resources for Community College Algebra,frontmatter,ORCCAq2V6jZE9ow,Frontmatter,preface,ORCCA89EzjUiXno,To All,paragraphs,ORCCA1tlh8tZRtS,Copying Content,,,,,,,,,
7,4,paragraphs,ORCCAplZX5YoUvE,,Accessibility,frontmatter.ptx,book,ORCCARkvKXFEUIT,Open Resources for Community College Algebra,frontmatter,ORCCAq2V6jZE9ow,Frontmatter,preface,ORCCA89EzjUiXno,To All,paragraphs,ORCCAplZX5YoUvE,Accessibility,,,,,,,,,
8,4,paragraphs,ORCCA2pY8KhcKv0,,Tablets and Smartphones,frontmatter.ptx,book,ORCCARkvKXFEUIT,Open Resources for Community College Algebra,frontmatter,ORCCAq2V6jZE9ow,Frontmatter,preface,ORCCA89EzjUiXno,To All,paragraphs,ORCCA2pY8KhcKv0,Tablets and Smartphones,,,,,,,,,
9,4,paragraphs,ORCCARXbaW9dIml,,for Online Homework,frontmatter.ptx,book,ORCCARkvKXFEUIT,Open Resources for Community College Algebra,frontmatter,ORCCAq2V6jZE9ow,Frontmatter,preface,ORCCA89EzjUiXno,To All,paragraphs,ORCCARXbaW9dIml,for Online Homework,,,,,,,,,
10,4,paragraphs,ORCCAHmRSOscm8G,,Odd Answers,frontmatter.ptx,book,ORCCARkvKXFEUIT,Open Resources for Community College Algebra,frontmatter,ORCCAq2V6jZE9ow,Frontmatter,preface,ORCCA89EzjUiXno,To All,paragraphs,ORCCAHmRSOscm8G,Odd Answers,,,,,,,,,
11,4,paragraphs,ORCCAR9VHFJJHg2,,Interactive and Static Examples,frontmatter.ptx,book,ORCCARkvKXFEUIT,Open Resources for Community College Algebra,frontmatter,ORCCAq2V6jZE9ow,Frontmatter,preface,ORCCA89EzjUiXno,To All,paragraphs,ORCCAR9VHFJJHg2,Interactive and Static Examples,,,,,,,,,
12,4,paragraphs,ORCCAawwU20puyE,,Reading Questions,frontmatter.ptx,book,ORCCARkvKXFEUIT,Open Resources for Community College Algebra,frontmatter,ORCCAq2V6jZE9ow,Frontmatter,preface,ORCCA89EzjUiXno,To All,paragraphs,ORCCAawwU20puyE,Reading Questions,,,,,,,,,
