resource_code,source_path,original_id,new_id,target_file,target_section_id,fallback
PREALG,PREALG/modules/m81308/index.cnxml,eip-id1168466205229,PREALG-mlfXEZOwb9,/Users/Ben/BLH Documents/2026/Kenya 2026/Textbooks/book-builder/reference/11-commercial-arithmetic/sec-simple-interest.ptx,sec-simple-interest-ref_1-prealg-m81308,table
PREALG,PREALG/modules/m81308/index.cnxml,eip-id1168466234219,PREALG-bA9NgSULUK,/Users/Ben/BLH Documents/2026/Kenya 2026/Textbooks/book-builder/reference/11-commercial-arithmetic/sec-simple-interest.ptx,sec-simple-interest-ref_1-prealg-m81308,table
PREALG,PREALG/modules/m81308/index.cnxml,eip-id1168467172609,PREALG-dvNHaUJmnp,/Users/Ben/BLH Documents/2026/Kenya 2026/Textbooks/book-builder/reference/11-commercial-arithmetic/sec-simple-interest.ptx,sec-simple-interest-ref_1-prealg-m81308,table
PREALG,PREALG/modules/m81308/index.cnxml,eip-id1168467203804,PREALG-Hgla0TFmqs,/Users/Ben/BLH Documents/2026/Kenya 2026/Textbooks/book-builder/reference/11-commercial-arithmetic/sec-simple-interest.ptx,sec-simple-interest-ref_1-prealg-m81308,table
PREALG,PREALG/modules/m81308/index.cnxml,eip-id1168467260736,PREALG-ijDQZ6Ciys,/Users/Ben/BLH Documents/2026/Kenya 2026/Textbooks/book-builder/reference/11-commercial-arithmetic/sec-simple-interest.ptx,sec-simple-interest-ref_1-prealg-m81308,table
PREALG,PREALG/modules/m81308/index.cnxml,eip-id1168468231398,PREALG-lHyNYWWgl9,/Users/Ben/BLH Documents/2026/Kenya 2026/Textbooks/book-builder/reference/11-commercial-arithmetic/sec-simple-interest.ptx,sec-simple-interest-ref_1-prealg-m81308,table
PREALG,PREALG/modules/m81308/index.cnxml,eip-id1168469481185,PREALG-YcOy6S2QRJ,/Users/Ben/BLH Documents/2026/Kenya 2026/Textbooks/book-builder/reference/11-commercial-arithmetic/sec-simple-interest.ptx,sec-simple-interest-ref_1-prealg-m81308,table
PREALG,PREALG/modules/m81308/index.cnxml,eip-id1169719335206,PREALG-YVgQRN6EfI,/Users/Ben/BLH Documents/2026/Kenya 2026/Textbooks/book-builder/reference/11-commercial-arithmetic/sec-simple-interest.ptx,sec-simple-interest-ref_1-prealg-m81308,table
PREALG,PREALG/modules/m81308/index.cnxml,eip-id1170103215272,PREALG-N3fGmuxRim,/Users/Ben/BLH Documents/2026/Kenya 2026/Textbooks/book-builder/reference/11-commercial-arithmetic/sec-simple-interest.ptx,sec-simple-interest-ref_1-prealg-m81308,table
PREALG,PREALG/modules/m81308/index.cnxml,eip-id1170470441601,PREALG-L6UMGYncSl,/Users/Ben/BLH Documents/2026/Kenya 2026/Textbooks/book-builder/reference/11-commercial-arithmetic/sec-simple-interest.ptx,sec-simple-interest-ref_1-prealg-m81308,table
PREALG,PREALG/modules/m81308/index.cnxml,eip-id1181905,PREALG-wZtnV3gnjj,/Users/Ben/BLH Documents/2026/Kenya 2026/Textbooks/book-builder/reference/11-commercial-arithmetic/sec-simple-interest.ptx,sec-simple-interest-ref_1-prealg-m81308,table
PREALG,PREALG/modules/m81308/index.cnxml,eip-id1589970,PREALG-2vU7PweS1F,/Users/Ben/BLH Documents/2026/Kenya 2026/Textbooks/book-builder/reference/11-commercial-arithmetic/sec-simple-interest.ptx,sec-simple-interest-ref_1-prealg-m81308,table
PREALG,PREALG/modules/m81308/index.cnxml,eip-id1704884,PREALG-UWSixgFo6Y,/Users/Ben/BLH Documents/2026/Kenya 2026/Textbooks/book-builder/reference/11-commercial-arithmetic/sec-simple-interest.ptx,sec-simple-interest-ref_1-prealg-m81308,table
PREALG,PREALG/modules/m81308/index.cnxml,fs-id1008308,PREALG-LN8suApTsh,/Users/Ben/BLH Documents/2026/Kenya 2026/Textbooks/book-builder/reference/11-commercial-arithmetic/sec-simple-interest.ptx,sec-simple-interest-ref_1-prealg-m81308,exercise
PREALG,PREALG/modules/m81308/index.cnxml,fs-id1166479094104,PREALG-s4FIfZZYg3,/Users/Ben/BLH Documents/2026/Kenya 2026/Textbooks/book-builder/reference/11-commercial-arithmetic/sec-simple-interest.ptx,sec-simple-interest-ref_1-prealg-m81308,exercise
PREALG,PREALG/modules/m81308/index.cnxml,fs-id1166484082886,PREALG-6gJtpylcQL,/Users/Ben/BLH Documents/2026/Kenya 2026/Textbooks/book-builder/reference/11-commercial-arithmetic/sec-simple-interest.ptx,sec-simple-interest-ref_1-prealg-m81308,note
PREALG,PREALG/modules/m81308/index.cnxml,fs-id1166484092488,PREALG-kyCD71PNrJ,/Users/Ben/BLH Documents/2026/Kenya 2026/Textbooks/book-builder/reference/11-commercial-arithmetic/sec-simple-interest.ptx,sec-simple-interest-ref_1-prealg-m81308,section
PREALG,PREALG/modules/m81308/index.cnxml,fs-id1166490741380,PREALG-uLnVUTAz1R,/Users/Ben/BLH Documents/2026/Kenya 2026/Textbooks/book-builder/reference/11-commercial-arithmetic/sec-simple-interest.ptx,sec-simple-interest-ref_1-prealg-m81308,exercise
PREALG,PREALG/modules/m81308/index.cnxml,fs-id1166490855925,PREALG-DITEsv2Zld,/Users/Ben/BLH Documents/2026/Kenya 2026/Textbooks/book-builder/reference/11-commercial-arithmetic/sec-simple-interest.ptx,sec-simple-interest-ref_1-prealg-m81308,exercise
PREALG,PREALG/modules/m81308/index.cnxml,fs-id1166490874286,PREALG-F6m3r5sHx6,/Users/Ben/BLH Documents/2026/Kenya 2026/Textbooks/book-builder/reference/11-commercial-arithmetic/sec-simple-interest.ptx,sec-simple-interest-ref_1-prealg-m81308,note
PREALG,PREALG/modules/m81308/index.cnxml,fs-id1166490917370,PREALG-qWSqLRRKA7,/Users/Ben/BLH Documents/2026/Kenya 2026/Textbooks/book-builder/reference/11-commercial-arithmetic/sec-simple-interest.ptx,sec-simple-interest-ref_1-prealg-m81308,exercise
PREALG,PREALG/modules/m81308/index.cnxml,fs-id1166490921423,PREALG-MlqpYLHrzg,/Users/Ben/BLH Documents/2026/Kenya 2026/Textbooks/book-builder/reference/11-commercial-arithmetic/sec-simple-interest.ptx,sec-simple-interest-ref_1-prealg-m81308,exercise
PREALG,PREALG/modules/m81308/index.cnxml,fs-id1166491003534,PREALG-DLbCRRA0KA,/Users/Ben/BLH Documents/2026/Kenya 2026/Textbooks/book-builder/reference/11-commercial-arithmetic/sec-simple-interest.ptx,sec-simple-interest-ref_1-prealg-m81308,example
PREALG,PREALG/modules/m81308/index.cnxml,fs-id1166491054048,PREALG-o4BnOLTKjR,/Users/Ben/BLH Documents/2026/Kenya 2026/Textbooks/book-builder/reference/11-commercial-arithmetic/sec-simple-interest.ptx,sec-simple-interest-ref_1-prealg-m81308,exercise
PREALG,PREALG/modules/m81308/index.cnxml,fs-id1166491054318,PREALG-xnrA3x8lu8,/Users/Ben/BLH Documents/2026/Kenya 2026/Textbooks/book-builder/reference/11-commercial-arithmetic/sec-simple-interest.ptx,sec-simple-interest-ref_1-prealg-m81308,note
PREALG,PREALG/modules/m81308/index.cnxml,fs-id1166491297028,PREALG-5AahWNBpUB,/Users/Ben/BLH Documents/2026/Kenya 2026/Textbooks/book-builder/reference/11-commercial-arithmetic/sec-simple-interest.ptx,sec-simple-interest-ref_1-prealg-m81308,exercise
PREALG,PREALG/modules/m81308/index.cnxml,fs-id1166495279388,PREALG-GQSkFra0Iu,/Users/Ben/BLH Documents/2026/Kenya 2026/Textbooks/book-builder/reference/11-commercial-arithmetic/sec-simple-interest.ptx,sec-simple-interest-ref_1-prealg-m81308,note
PREALG,PREALG/modules/m81308/index.cnxml,fs-id1166497293821,PREALG-XU6TpdPiwR,/Users/Ben/BLH Documents/2026/Kenya 2026/Textbooks/book-builder/reference/11-commercial-arithmetic/sec-simple-interest.ptx,sec-simple-interest-ref_1-prealg-m81308,exercise
PREALG,PREALG/modules/m81308/index.cnxml,fs-id1166498114902,PREALG-nBIJ7UdQzJ,/Users/Ben/BLH Documents/2026/Kenya 2026/Textbooks/book-builder/reference/11-commercial-arithmetic/sec-simple-interest.ptx,sec-simple-interest-ref_1-prealg-m81308,exercise
PREALG,PREALG/modules/m81308/index.cnxml,fs-id1166879044214,PREALG-JTQ5nwppcK,/Users/Ben/BLH Documents/2026/Kenya 2026/Textbooks/book-builder/reference/11-commercial-arithmetic/sec-simple-interest.ptx,sec-simple-interest-ref_1-prealg-m81308,note
PREALG,PREALG/modules/m81308/index.cnxml,fs-id1215290,PREALG-sCCLrp6qII,/Users/Ben/BLH Documents/2026/Kenya 2026/Textbooks/book-builder/reference/11-commercial-arithmetic/sec-simple-interest.ptx,sec-simple-interest-ref_1-prealg-m81308,example
PREALG,PREALG/modules/m81308/index.cnxml,fs-id1217108,PREALG-59O73gxF5x,/Users/Ben/BLH Documents/2026/Kenya 2026/Textbooks/book-builder/reference/11-commercial-arithmetic/sec-simple-interest.ptx,sec-simple-interest-ref_1-prealg-m81308,note
PREALG,PREALG/modules/m81308/index.cnxml,fs-id1233682,PREALG-mgZ4zemBfZ,/Users/Ben/BLH Documents/2026/Kenya 2026/Textbooks/book-builder/reference/11-commercial-arithmetic/sec-simple-interest.ptx,sec-simple-interest-ref_1-prealg-m81308,exercise
PREALG,PREALG/modules/m81308/index.cnxml,fs-id1236985,PREALG-YPhwtDKycI,/Users/Ben/BLH Documents/2026/Kenya 2026/Textbooks/book-builder/reference/11-commercial-arithmetic/sec-simple-interest.ptx,sec-simple-interest-ref_1-prealg-m81308,note
PREALG,PREALG/modules/m81308/index.cnxml,fs-id1281704,PREALG-P1O37bGGxM,/Users/Ben/BLH Documents/2026/Kenya 2026/Textbooks/book-builder/reference/11-commercial-arithmetic/sec-simple-interest.ptx,sec-simple-interest-ref_1-prealg-m81308,exercise
PREALG,PREALG/modules/m81308/index.cnxml,fs-id1281981,PREALG-eWv6EuGkWw,/Users/Ben/BLH Documents/2026/Kenya 2026/Textbooks/book-builder/reference/11-commercial-arithmetic/sec-simple-interest.ptx,sec-simple-interest-ref_1-prealg-m81308,exercise
PREALG,PREALG/modules/m81308/index.cnxml,fs-id1303539,PREALG-hNi4AFtwbi,/Users/Ben/BLH Documents/2026/Kenya 2026/Textbooks/book-builder/reference/11-commercial-arithmetic/sec-simple-interest.ptx,sec-simple-interest-ref_1-prealg-m81308,note
PREALG,PREALG/modules/m81308/index.cnxml,fs-id1314946,PREALG-K83qq9xgsn,/Users/Ben/BLH Documents/2026/Kenya 2026/Textbooks/book-builder/reference/11-commercial-arithmetic/sec-simple-interest.ptx,sec-simple-interest-ref_1-prealg-m81308,note
PREALG,PREALG/modules/m81308/index.cnxml,fs-id1321101,PREALG-roR4zzOYjO,/Users/Ben/BLH Documents/2026/Kenya 2026/Textbooks/book-builder/reference/11-commercial-arithmetic/sec-simple-interest.ptx,sec-simple-interest-ref_1-prealg-m81308,example
PREALG,PREALG/modules/m81308/index.cnxml,fs-id1324442,PREALG-3UGRtba14u,/Users/Ben/BLH Documents/2026/Kenya 2026/Textbooks/book-builder/reference/11-commercial-arithmetic/sec-simple-interest.ptx,sec-simple-interest-ref_1-prealg-m81308,note
PREALG,PREALG/modules/m81308/index.cnxml,fs-id1359973,PREALG-gtzaCRo80v,/Users/Ben/BLH Documents/2026/Kenya 2026/Textbooks/book-builder/reference/11-commercial-arithmetic/sec-simple-interest.ptx,sec-simple-interest-ref_1-prealg-m81308,section
PREALG,PREALG/modules/m81308/index.cnxml,fs-id1445896,PREALG-gMJzODt5dB,/Users/Ben/BLH Documents/2026/Kenya 2026/Textbooks/book-builder/reference/11-commercial-arithmetic/sec-simple-interest.ptx,sec-simple-interest-ref_1-prealg-m81308,exercise
