original_id,new_id,node_type,node_title,source_path
orcca,ORCCARkvKXFEUIT,book,Open Resources for Community College Algebra,orcca.ptx
frontmatter,ORCCAq2V6jZE9ow,frontmatter,Frontmatter,frontmatter.ptx
,ORCCAQ9hfMMkXtY,acknowledgement,Acknowledgement,frontmatter.ptx
preface-to-all,ORCCA89EzjUiXno,preface,To All,frontmatter.ptx
,ORCCAroY9Kf58nG,paragraphs,"HTML, PDF, and print",frontmatter.ptx
,ORCCA1tlh8tZRtS,paragraphs,Copying Content,frontmatter.ptx
,ORCCAplZX5YoUvE,paragraphs,Accessibility,frontmatter.ptx
,ORCCA2pY8KhcKv0,paragraphs,Tablets and Smartphones,frontmatter.ptx
,ORCCARXbaW9dIml,paragraphs,for Online Homework,frontmatter.ptx
,ORCCAHmRSOscm8G,paragraphs,Odd Answers,frontmatter.ptx
,ORCCAR9VHFJJHg2,paragraphs,Interactive and Static Examples,frontmatter.ptx
,ORCCAawwU20puyE,paragraphs,Reading Questions,frontmatter.ptx
,ORCCAfnCQjCKr7s,paragraphs,Alternative Video Lessons,frontmatter.ptx
part-linear-equations-and-lines,ORCCAKXtbIA6wwK,part,Linear Equations and Lines,orcca.ptx
chapter-variables-expressions-equations-and-inequalities,ORCCAtSPX0Fl70e,chapter,"Variables, Expressions, Equations, and Inequalities",chapter-variables-expressions-equations-and-inequalities.ptx
,ORCCA2eKfoQx42j,introduction,Introduction,chapter-variables-expressions-equations-and-inequalities.ptx
section-variables-and-evaluating-expressions,ORCCAsI65eCrAfx,section,Variables and Evaluating Expressions,section-variables-and-evaluating-expressions.ptx
,ORCCAc9Z6vm4j6w,introduction,Introduction,section-variables-and-evaluating-expressions.ptx
,ORCCAh4HeaQFCqB,subsection,Introduction to Variables,section-variables-and-evaluating-expressions.ptx
,ORCCAgTxQz6OMck,introduction,Introduction,section-variables-and-evaluating-expressions.ptx
,ORCCAWfWPdsWTjH,subsection,Algebraic Expressions,section-variables-and-evaluating-expressions.ptx
,ORCCA3eEDSuPCcR,introduction,Introduction,section-variables-and-evaluating-expressions.ptx
,ORCCA9SXbQpjECS,introduction,Introduction,section-variables-and-evaluating-expressions.ptx
