collection_title,chapter_order,chapter_title,subcollection_path,module_order,module_id,module_title,row_type,section_order,section_level,section_id,section_title,source_path,resource
precalculus-2e,,,,1,m50919,Preface,module,,,,,PRECALC/modules/m50919/index.cnxml,/Users/Ben/BLH Documents/2026/Kenya 2026/maths-collage/book/adapted-works/PRECALC/modules/m50919/index.cnxml
precalculus-2e,,,,1,m50919,Preface,section,1,2,eip-29,About OpenStax,PRECALC/modules/m50919/index.cnxml,/Users/Ben/BLH Documents/2026/Kenya 2026/maths-collage/book/adapted-works/PRECALC/modules/m50919/index.cnxml
precalculus-2e,,,,1,m50919,Preface,section,2,2,eip-714,About OpenStax Resources,PRECALC/modules/m50919/index.cnxml,/Users/Ben/BLH Documents/2026/Kenya 2026/maths-collage/book/adapted-works/PRECALC/modules/m50919/index.cnxml
precalculus-2e,,,,1,m50919,Preface,section,3,3,fs-id6329471,Customization,PRECALC/modules/m50919/index.cnxml,/Users/Ben/BLH Documents/2026/Kenya 2026/maths-collage/book/adapted-works/PRECALC/modules/m50919/index.cnxml
precalculus-2e,,,,1,m50919,Preface,section,4,3,sect-00001,Art attribution,PRECALC/modules/m50919/index.cnxml,/Users/Ben/BLH Documents/2026/Kenya 2026/maths-collage/book/adapted-works/PRECALC/modules/m50919/index.cnxml
precalculus-2e,,,,1,m50919,Preface,section,5,3,eip-318,Errata,PRECALC/modules/m50919/index.cnxml,/Users/Ben/BLH Documents/2026/Kenya 2026/maths-collage/book/adapted-works/PRECALC/modules/m50919/index.cnxml
precalculus-2e,,,,1,m50919,Preface,section,6,3,eip-788,Format,PRECALC/modules/m50919/index.cnxml,/Users/Ben/BLH Documents/2026/Kenya 2026/maths-collage/book/adapted-works/PRECALC/modules/m50919/index.cnxml
precalculus-2e,,,,1,m50919,Preface,section,7,2,eip-626,About Precalculus 2e,PRECALC/modules/m50919/index.cnxml,/Users/Ben/BLH Documents/2026/Kenya 2026/maths-collage/book/adapted-works/PRECALC/modules/m50919/index.cnxml
precalculus-2e,,,,1,m50919,Preface,section,8,3,eip-250,Coverage and Scope,PRECALC/modules/m50919/index.cnxml,/Users/Ben/BLH Documents/2026/Kenya 2026/maths-collage/book/adapted-works/PRECALC/modules/m50919/index.cnxml
precalculus-2e,,,,1,m50919,Preface,section,9,3,eip-350,Development Overview,PRECALC/modules/m50919/index.cnxml,/Users/Ben/BLH Documents/2026/Kenya 2026/maths-collage/book/adapted-works/PRECALC/modules/m50919/index.cnxml
precalculus-2e,,,,1,m50919,Preface,section,10,3,eip-42,Accuracy of the Content,PRECALC/modules/m50919/index.cnxml,/Users/Ben/BLH Documents/2026/Kenya 2026/maths-collage/book/adapted-works/PRECALC/modules/m50919/index.cnxml
precalculus-2e,,,,1,m50919,Preface,section,11,3,sect-00002,Changes to the Second Edition,PRECALC/modules/m50919/index.cnxml,/Users/Ben/BLH Documents/2026/Kenya 2026/maths-collage/book/adapted-works/PRECALC/modules/m50919/index.cnxml
precalculus-2e,,,,1,m50919,Preface,section,12,2,eip-563,Pedagogical Foundations and Features,PRECALC/modules/m50919/index.cnxml,/Users/Ben/BLH Documents/2026/Kenya 2026/maths-collage/book/adapted-works/PRECALC/modules/m50919/index.cnxml
precalculus-2e,,,,1,m50919,Preface,section,13,3,eip-61,Learning Objectives,PRECALC/modules/m50919/index.cnxml,/Users/Ben/BLH Documents/2026/Kenya 2026/maths-collage/book/adapted-works/PRECALC/modules/m50919/index.cnxml
precalculus-2e,,,,1,m50919,Preface,section,14,3,eip-719,Narrative Text,PRECALC/modules/m50919/index.cnxml,/Users/Ben/BLH Documents/2026/Kenya 2026/maths-collage/book/adapted-works/PRECALC/modules/m50919/index.cnxml
