collection_title,chapter_order,chapter_title,subcollection_path,module_order,module_id,module_title,row_type,section_order,section_level,section_id,section_title,source_path
statistics,,,,1,m79619,Preface,module,,,,,STAT/modules/m79619/index.cnxml
statistics,,,,1,m79619,Preface,section,1,1,eip-10,About OpenStax,STAT/modules/m79619/index.cnxml
statistics,,,,1,m79619,Preface,section,2,1,eip-242,About OpenStax Resources,STAT/modules/m79619/index.cnxml
statistics,,,,1,m79619,Preface,section,3,2,eip-id1172001427154,Customization,STAT/modules/m79619/index.cnxml
statistics,,,,1,m79619,Preface,section,4,2,eip-983,Art Attribution in Statistics,STAT/modules/m79619/index.cnxml
statistics,,,,1,m79619,Preface,section,5,2,eip-621,Errata,STAT/modules/m79619/index.cnxml
statistics,,,,1,m79619,Preface,section,6,2,eip-107,Format,STAT/modules/m79619/index.cnxml
statistics,,,,1,m79619,Preface,section,7,1,fs-idm526890688,About Statistics,STAT/modules/m79619/index.cnxml
statistics,,,,1,m79619,Preface,section,8,2,eip-663,Coverage and Scope,STAT/modules/m79619/index.cnxml
statistics,,,,1,m79619,Preface,section,9,2,eip-451,Flexibility,STAT/modules/m79619/index.cnxml
statistics,,,,1,m79619,Preface,section,10,2,eip-876,Student-Centered Focus,STAT/modules/m79619/index.cnxml
statistics,,,,1,m79619,Preface,section,11,2,eip-600,Statistics Labs,STAT/modules/m79619/index.cnxml
statistics,,,,1,m79619,Preface,section,12,2,sect-00001,Answers to Questions in the Book,STAT/modules/m79619/index.cnxml
statistics,,,,1,m79619,Preface,section,13,1,eip-382,Additional Resources,STAT/modules/m79619/index.cnxml
statistics,,,,1,m79619,Preface,section,14,2,eip-id8911316,Student and Instructor Resources,STAT/modules/m79619/index.cnxml
statistics,,,,1,m79619,Preface,section,15,2,eip-833,Partner Resources,STAT/modules/m79619/index.cnxml
statistics,,,,1,m79619,Preface,section,16,1,eip-441,About the Authors,STAT/modules/m79619/index.cnxml
statistics,,,,1,m79619,Preface,section,17,2,eip-id1165226216199,Senior Contributing Authors,STAT/modules/m79619/index.cnxml
statistics,,,,1,m79619,Preface,section,18,2,eip-429,Contributing Authors,STAT/modules/m79619/index.cnxml
statistics,,,,1,m79619,Preface,section,19,2,eip-id1165231659584,Reviewers of Prior Editions,STAT/modules/m79619/index.cnxml
