document_order,depth,node_type,node_id,node_title,source_path,level_1_type,level_1_id,level_1_title,level_2_type,level_2_id,level_2_title,level_3_type,level_3_id,level_3_title,level_4_type,level_4_id,level_4_title,level_5_type,level_5_id,level_5_title,level_6_type,level_6_id,level_6_title,level_7_type,level_7_id,level_7_title
1,1,book,orcca,Open Resources for Community College Algebra,orcca.ptx,book,orcca,Open Resources for Community College Algebra,,,,,,,,,,,,,,,,,,
2,2,frontmatter,frontmatter,Frontmatter,frontmatter.ptx,book,orcca,Open Resources for Community College Algebra,frontmatter,frontmatter,Frontmatter,,,,,,,,,,,,,,,
3,3,acknowledgement,owSFNc8U,Acknowledgement,frontmatter.ptx,book,orcca,Open Resources for Community College Algebra,frontmatter,frontmatter,Frontmatter,acknowledgement,owSFNc8U,Acknowledgement,,,,,,,,,,,,
4,3,preface,preface-to-all,To All,frontmatter.ptx,book,orcca,Open Resources for Community College Algebra,frontmatter,frontmatter,Frontmatter,preface,preface-to-all,To All,,,,,,,,,,,,
5,4,paragraphs,wLKX6pSv,"HTML, PDF, and print",frontmatter.ptx,book,orcca,Open Resources for Community College Algebra,frontmatter,frontmatter,Frontmatter,preface,preface-to-all,To All,paragraphs,wLKX6pSv,"HTML, PDF, and print",,,,,,,,,
6,4,paragraphs,jMx32ls6,Copying Content,frontmatter.ptx,book,orcca,Open Resources for Community College Algebra,frontmatter,frontmatter,Frontmatter,preface,preface-to-all,To All,paragraphs,jMx32ls6,Copying Content,,,,,,,,,
7,4,paragraphs,ZNVrZ26n,Accessibility,frontmatter.ptx,book,orcca,Open Resources for Community College Algebra,frontmatter,frontmatter,Frontmatter,preface,preface-to-all,To All,paragraphs,ZNVrZ26n,Accessibility,,,,,,,,,
8,4,paragraphs,ClJg0ngf,Tablets and Smartphones,frontmatter.ptx,book,orcca,Open Resources for Community College Algebra,frontmatter,frontmatter,Frontmatter,preface,preface-to-all,To All,paragraphs,ClJg0ngf,Tablets and Smartphones,,,,,,,,,
9,4,paragraphs,GLQAK2Rp,for Online Homework,frontmatter.ptx,book,orcca,Open Resources for Community College Algebra,frontmatter,frontmatter,Frontmatter,preface,preface-to-all,To All,paragraphs,GLQAK2Rp,for Online Homework,,,,,,,,,
10,4,paragraphs,XOiOx9RF,Odd Answers,frontmatter.ptx,book,orcca,Open Resources for Community College Algebra,frontmatter,frontmatter,Frontmatter,preface,preface-to-all,To All,paragraphs,XOiOx9RF,Odd Answers,,,,,,,,,
11,4,paragraphs,PYGlrU95,Interactive and Static Examples,frontmatter.ptx,book,orcca,Open Resources for Community College Algebra,frontmatter,frontmatter,Frontmatter,preface,preface-to-all,To All,paragraphs,PYGlrU95,Interactive and Static Examples,,,,,,,,,
12,4,paragraphs,njhvLkIp,Reading Questions,frontmatter.ptx,book,orcca,Open Resources for Community College Algebra,frontmatter,frontmatter,Frontmatter,preface,preface-to-all,To All,paragraphs,njhvLkIp,Reading Questions,,,,,,,,,
13,4,paragraphs,8pZZzOBt,Alternative Video Lessons,frontmatter.ptx,book,orcca,Open Resources for Community College Algebra,frontmatter,frontmatter,Frontmatter,preface,preface-to-all,To All,paragraphs,8pZZzOBt,Alternative Video Lessons,,,,,,,,,
