collection_title,chapter_order,chapter_title,subcollection_path,module_order,module_id,module_title,row_type,section_order,section_level,section_id,section_title,source_path
prealgebra-2e,,,,1,m81241,Preface,module,,,,,PREALG/modules/m81241/index.cnxml
prealgebra-2e,,,,1,m81241,Preface,section,1,1,eip-287,About OpenStax,PREALG/modules/m81241/index.cnxml
prealgebra-2e,,,,1,m81241,Preface,section,2,1,eip-328,About OpenStax Resources,PREALG/modules/m81241/index.cnxml
prealgebra-2e,,,,1,m81241,Preface,section,3,2,eip-583,Customization,PREALG/modules/m81241/index.cnxml
prealgebra-2e,,,,1,m81241,Preface,section,4,2,eip-636,Art attribution in Prealgebra 2e,PREALG/modules/m81241/index.cnxml
prealgebra-2e,,,,1,m81241,Preface,section,5,2,eip-581,Errata,PREALG/modules/m81241/index.cnxml
prealgebra-2e,,,,1,m81241,Preface,section,6,2,eip-674,Format,PREALG/modules/m81241/index.cnxml
prealgebra-2e,,,,1,m81241,Preface,section,7,1,eip-574,About Prealgebra 2e,PREALG/modules/m81241/index.cnxml
prealgebra-2e,,,,1,m81241,Preface,section,8,1,eip-386,Coverage and Scope,PREALG/modules/m81241/index.cnxml
prealgebra-2e,,,,1,m81241,Preface,section,9,1,eip-709,Changes to the Second Edition,PREALG/modules/m81241/index.cnxml
prealgebra-2e,,,,1,m81241,Preface,section,10,1,eip-421,Pedagogical Foundation and Features,PREALG/modules/m81241/index.cnxml
prealgebra-2e,,,,1,m81241,Preface,section,11,2,eip-515,Learning Objectives,PREALG/modules/m81241/index.cnxml
prealgebra-2e,,,,1,m81241,Preface,section,12,2,eip-23,Narrative text,PREALG/modules/m81241/index.cnxml
prealgebra-2e,,,,1,m81241,Preface,section,13,2,eip-132,Examples,PREALG/modules/m81241/index.cnxml
prealgebra-2e,,,,1,m81241,Preface,section,14,2,eip-498,Figures,PREALG/modules/m81241/index.cnxml
prealgebra-2e,,,,1,m81241,Preface,section,15,2,eip-422,Supporting Features,PREALG/modules/m81241/index.cnxml
prealgebra-2e,,,,1,m81241,Preface,section,16,3,eip-827,Be Prepared!,PREALG/modules/m81241/index.cnxml
prealgebra-2e,,,,1,m81241,Preface,section,17,3,eip-723,How To,PREALG/modules/m81241/index.cnxml
prealgebra-2e,,,,1,m81241,Preface,section,18,3,eip-55,Try It,PREALG/modules/m81241/index.cnxml
prealgebra-2e,,,,1,m81241,Preface,section,19,3,eip-122,Media,PREALG/modules/m81241/index.cnxml
prealgebra-2e,,,,1,m81241,Preface,section,20,2,eip-534,Section Exercises,PREALG/modules/m81241/index.cnxml
prealgebra-2e,,,,1,m81241,Preface,section,21,2,eip-36,Chapter Review Features,PREALG/modules/m81241/index.cnxml
prealgebra-2e,,,,1,m81241,Preface,section,22,2,sect-00001,Answers to Questions in the Book,PREALG/modules/m81241/index.cnxml
prealgebra-2e,,,,1,m81241,Preface,section,23,1,eip-806,Additional Resources,PREALG/modules/m81241/index.cnxml
prealgebra-2e,,,,1,m81241,Preface,section,24,2,eip-666,Student and Instructor Resources,PREALG/modules/m81241/index.cnxml
prealgebra-2e,,,,1,m81241,Preface,section,25,2,eip-447,Partner Resources,PREALG/modules/m81241/index.cnxml
prealgebra-2e,,,,1,m81241,Preface,section,26,1,eip-214,About the Authors,PREALG/modules/m81241/index.cnxml
prealgebra-2e,,,,1,m81241,Preface,section,27,2,eip-653,Senior Contributing Authors,PREALG/modules/m81241/index.cnxml
prealgebra-2e,,,,1,m81241,Preface,section,28,2,eip-195,Reviewers,PREALG/modules/m81241/index.cnxml
prealgebra-2e,1,Whole Numbers,Whole Numbers,1,m81242,Introduction,module,,,,,PREALG/modules/m81242/index.cnxml
prealgebra-2e,1,Whole Numbers,Whole Numbers,2,m81243,Introduction to Whole Numbers,module,,,,,PREALG/modules/m81243/index.cnxml
prealgebra-2e,1,Whole Numbers,Whole Numbers,2,m81243,Introduction to Whole Numbers,section,1,1,fs-id1830385,Identify Counting Numbers and Whole Numbers,PREALG/modules/m81243/index.cnxml
prealgebra-2e,1,Whole Numbers,Whole Numbers,2,m81243,Introduction to Whole Numbers,section,2,1,fs-id2340048,Model Whole Numbers,PREALG/modules/m81243/index.cnxml
prealgebra-2e,1,Whole Numbers,Whole Numbers,2,m81243,Introduction to Whole Numbers,section,3,1,fs-id1883656,Identify the Place Value of a Digit,PREALG/modules/m81243/index.cnxml
prealgebra-2e,1,Whole Numbers,Whole Numbers,2,m81243,Introduction to Whole Numbers,section,4,1,fs-id1321580,Use Place Value to Name Whole Numbers,PREALG/modules/m81243/index.cnxml
prealgebra-2e,1,Whole Numbers,Whole Numbers,2,m81243,Introduction to Whole Numbers,section,5,1,fs-id1339359,Use Place Value to Write Whole Numbers,PREALG/modules/m81243/index.cnxml
prealgebra-2e,1,Whole Numbers,Whole Numbers,2,m81243,Introduction to Whole Numbers,section,6,1,fs-id2472737,Round Whole Numbers,PREALG/modules/m81243/index.cnxml
prealgebra-2e,1,Whole Numbers,Whole Numbers,2,m81243,Introduction to Whole Numbers,section,7,1,fs-id2296006,Key Concepts,PREALG/modules/m81243/index.cnxml
prealgebra-2e,1,Whole Numbers,Whole Numbers,2,m81243,Introduction to Whole Numbers,section,8,2,fs-id2318815,Practice Makes Perfect,PREALG/modules/m81243/index.cnxml
prealgebra-2e,1,Whole Numbers,Whole Numbers,2,m81243,Introduction to Whole Numbers,section,9,2,fs-id1717629,Everyday Math,PREALG/modules/m81243/index.cnxml
prealgebra-2e,1,Whole Numbers,Whole Numbers,2,m81243,Introduction to Whole Numbers,section,10,2,fs-id1345943,Writing Exercises,PREALG/modules/m81243/index.cnxml
prealgebra-2e,1,Whole Numbers,Whole Numbers,2,m81243,Introduction to Whole Numbers,section,11,2,eip-823,Self Check,PREALG/modules/m81243/index.cnxml
prealgebra-2e,1,Whole Numbers,Whole Numbers,3,m81244,Add Whole Numbers,module,,,,,PREALG/modules/m81244/index.cnxml
prealgebra-2e,1,Whole Numbers,Whole Numbers,3,m81244,Add Whole Numbers,section,1,1,fs-id2601285,Use Addition Notation,PREALG/modules/m81244/index.cnxml
prealgebra-2e,1,Whole Numbers,Whole Numbers,3,m81244,Add Whole Numbers,section,2,1,fs-id2145437,Model Addition of Whole Numbers,PREALG/modules/m81244/index.cnxml
prealgebra-2e,1,Whole Numbers,Whole Numbers,3,m81244,Add Whole Numbers,section,3,1,fs-id1385496,Add Whole Numbers Without Models,PREALG/modules/m81244/index.cnxml
prealgebra-2e,1,Whole Numbers,Whole Numbers,3,m81244,Add Whole Numbers,section,4,1,fs-id2691382,Translate Word Phrases to Math Notation,PREALG/modules/m81244/index.cnxml
prealgebra-2e,1,Whole Numbers,Whole Numbers,3,m81244,Add Whole Numbers,section,5,1,fs-id2197427,Add Whole Numbers in Applications,PREALG/modules/m81244/index.cnxml
prealgebra-2e,1,Whole Numbers,Whole Numbers,3,m81244,Add Whole Numbers,section,6,1,fs-id1611455,Key Concepts,PREALG/modules/m81244/index.cnxml
